ID,KIDSDRIV,BIRTH,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,CAR_VALUE,CAR_TYPE,OLDCLAIM,CLM_FREQ,CLM_AMT,CAR_AGE,URBANICITY
100130023,0,05-02-55,2,13,"26,763",Yes,"141,019",No,F,Masters,Manager,49,Private,"11,500",SUV,0,0,0,11,Highly Urban/ Urban
100263241,0,05-10-61,0,9,"156,060",No,"381,438",Yes,M,Bachelors,Blue Collar,29,Commercial,"25,230",Panel Truck,"8,207",1,0,9,Highly Urban/ Urban
100321982,0,12-11-59,1,11,"1,965",Yes,0,No,F,PhD,Home Maker,21,Private,"20,630",Minivan,0,0,0,11,Highly Urban/ Urban
100391818,0,11-10-61,1,10,"62,361",No,"185,738",Yes,F,Bachelors,Home Maker,32,Private,"11,540",SUV,"3,481",1,0,6,Highly Urban/ Urban
100549277,0,06-10-66,1,10,"34,192",Yes,0,No,F,High School,Blue Collar,22,Commercial,"13,670",SUV,0,0,0,7,Highly Rural/ Rural
100550672,0,15-07-58,2,7,"17,755",Yes,"148,815",No,F,<High School,Clerical,29,Private,"14,480",Minivan,0,0,0,1,Highly Urban/ Urban
100560602,0,21-10-65,4,16,"72,641",No,"230,443",Yes,M,Bachelors,Clerical,15,Private,"4,800",Pickup,0,0,0,9,Highly Urban/ Urban
100698866,0,10-01-39,0,9,"100,207",No,"320,199",No,M,Bachelors,Manager,34,Private,"1,500",Minivan,"15,403",2,0,11,Highly Urban/ Urban
101131398,1,20-07-36,1,2,"38,111",No,"152,804",Yes,F,Masters,Lawyer,28,Private,"15,700",SUV,0,0,"8,633",19,Highly Urban/ Urban
101278471,0,22-12-48,0,0,0,No,0,No,F,<High School,Home Maker,33,Private,"9,490",SUV,0,0,0,5,Highly Rural/ Rural
101504483,0,03-08-62,3,13,"39,923",No,"133,822",Yes,M,<High School,Blue Collar,5,Commercial,"16,530",Van,"10,546",3,0,1,Highly Urban/ Urban
101597061,0,18-10-57,0,8,"94,591",No,"309,644",No,M,<High School,Blue Collar,21,Commercial,"17,470",Van,"16,121",3,"3,428",8,Highly Urban/ Urban
101619581,0,13-02-50,0,0,0,No,0,No,M,<High School,Student,90,Private,"22,920",Minivan,0,0,0,1,Highly Rural/ Rural
102128945,0,13-01-55,3,17,"49,098",No,"157,404",Yes,M,Bachelors,Blue Collar,33,Commercial,"5,900",Pickup,0,0,0,13,Highly Rural/ Rural
102133550,0,11-04-62,0,11,"33,216",No,0,No,M,High School,Clerical,52,Commercial,"30,340",Panel Truck,0,0,0,8,Highly Urban/ Urban
102270088,0,08-11-69,1,10,"39,710",No,"173,759",Yes,M,High School,Blue Collar,32,Commercial,"21,920",Van,0,0,"3,853",10,Highly Urban/ Urban
102280835,0,09-06-60,0,12,"33,997",No,"123,850",Yes,F,<High School,Blue Collar,8,Private,"22,520",Pickup,0,0,0,6,Highly Urban/ Urban
102397935,0,30-07-66,0,8,"102,981",No,"302,779",Yes,M,High School,Professional,29,Private,"16,680",Van,0,0,0,11,Highly Rural/ Rural
102512651,0,10-11-42,2,0,0,No,"82,024",Yes,F,Bachelors,Home Maker,14,Private,"1,500",SUV,"8,694",3,"3,235",5,Highly Urban/ Urban
102540356,0,01-06-59,0,0,0,No,0,No,F,High School,Student,53,Commercial,"22,180",Sports Car,0,0,0,1,Highly Rural/ Rural
102604051,0,24-01-52,0,5,"31,957",No,"156,435",Yes,M,High School,Clerical,24,Private,"9,400",Minivan,0,0,0,6,Highly Urban/ Urban
102604661,0,06-02-55,0,9,"124,829",No,0,No,F,Masters,Lawyer,39,Private,"23,030",SUV,"3,441",1,0,16,Highly Urban/ Urban
102713514,0,23-10-63,2,8,"45,034",Yes,"175,140",No,M,High School,Manager,5,Private,"14,160",Minivan,0,0,0,1,Highly Urban/ Urban
102962150,0,16-11-41,0,7,"65,923",No,"238,115",Yes,M,Bachelors,Manager,30,Commercial,"29,800",Panel Truck,"3,886",2,0,8,Highly Urban/ Urban
102970449,0,14-10-50,0,12,"106,161",No,"282,961",Yes,F,Bachelors,Blue Collar,31,Commercial,"18,020",SUV,0,0,"5,704",16,Highly Urban/ Urban
103057855,0,16-08-58,0,13,"39,055",No,"173,444",Yes,M,<High School,Blue Collar,81,Commercial,"26,020",Panel Truck,"1,044",2,"4,212",5,Highly Urban/ Urban
103069034,0,25-01-48,0,12,"101,859",No,"272,958",Yes,F,PhD,Professional,48,Private,"13,390",Sports Car,0,0,"4,896",17,Highly Rural/ Rural
103155388,0,26-08-67,2,13,"72,188",No,"229,982",Yes,F,Bachelors,Professional,29,Private,"9,790",SUV,"3,176",2,0,13,Highly Urban/ Urban
103170411,0,08-05-50,0,14,"21,129",No,0,No,F,Masters,Home Maker,24,Private,"8,660",SUV,0,0,0,15,Highly Urban/ Urban
103299315,0,24-03-52,0,13,"45,431",No,"192,184",Yes,M,<High School,Blue Collar,45,Commercial,"16,780",Van,"3,809",2,"4,430",1,Highly Urban/ Urban
103490683,0,07-07-51,0,10,"106,752",No,0,No,M,Bachelors,Professional,46,Private,"19,540",Van,"8,212",3,"3,989",15,Highly Urban/ Urban
103642796,0,20-05-47,0,13,"16,005",No,"52,557",Yes,M,<High School,Clerical,38,Private,"11,570",Pickup,"3,546",1,0,1,Highly Urban/ Urban
103651063,0,06-09-54,0,12,"107,327",No,"316,035",No,F,Bachelors,Professional,38,Private,"18,540",SUV,0,0,0,9,Highly Urban/ Urban
103716673,0,27-10-61,0,14,"25,835",No,"109,685",Yes,M,High School,Clerical,29,Private,"8,490",Pickup,0,0,0,12,Highly Urban/ Urban
103788606,0,09-03-43,0,10,"55,722",No,"243,285",Yes,M,High School,Blue Collar,21,Commercial,"23,130",Panel Truck,0,0,0,1,Highly Rural/ Rural
103790027,0,05-07-77,1,7,"2,214",No,"114,501",Yes,F,<High School,Home Maker,32,Private,"17,470",SUV,"9,453",1,"4,212",1,Highly Urban/ Urban
103790875,0,08-05-35,0,5,"46,598",No,"180,231",No,F,Masters,Lawyer,27,Private,"12,560",Sports Car,0,0,"2,432",1,Highly Urban/ Urban
103973147,0,15-12-51,0,9,"40,764",No,"158,061",Yes,F,PhD,Manager,16,Private,"11,400",Sports Car,0,0,0,14,Highly Urban/ Urban
104155283,0,12-12-49,0,9,"94,062",No,"287,762",No,M,Bachelors,Manager,15,Private,"35,690",Minivan,0,0,0,11,Highly Urban/ Urban
104465490,0,31-05-56,4,0,0,Yes,0,No,F,Bachelors,Student,44,Commercial,"14,080",SUV,"3,073",1,"3,211",7,Highly Urban/ Urban
104494728,0,01-04-39,4,16,"28,634",No,"151,602",Yes,M,<High School,Clerical,17,Private,"5,730",Minivan,"30,480",2,471,5,Highly Rural/ Rural
104551874,0,29-07-49,0,11,"38,998",No,"175,757",Yes,M,High School,Blue Collar,47,Commercial,"21,460",Minivan,0,0,0,1,Highly Rural/ Rural
104876697,0,31-01-40,0,14,"264,817",No,0,No,F,PhD,Doctor,37,Private,"33,880",SUV,0,0,0,11,Highly Urban/ Urban
104982335,0,12-02-59,0,14,"79,282",No,"203,516",Yes,F,Bachelors,Professional,27,Private,"21,350",SUV,0,0,0,1,Highly Urban/ Urban
105033412,0,10-03-49,0,0,0,No,"110,784",No,F,Masters,Home Maker,17,Private,"16,780",Pickup,0,0,0,15,Highly Urban/ Urban
105127726,0,22-07-73,2,14,"10,730",No,0,Yes,F,High School,Student,5,Private,"16,150",SUV,"6,135",2,"1,022",6,Highly Urban/ Urban
105135780,0,16-02-43,0,9,"178,807",No,"451,332",Yes,F,Bachelors,Professional,53,Private,"33,140",Van,"2,925",2,0,5,Highly Urban/ Urban
105138633,0,03-03-57,0,10,"47,836",No,"175,242",Yes,F,Bachelors,Manager,34,Private,"6,280",SUV,"8,273",3,0,9,Highly Urban/ Urban
105313400,0,19-01-40,0,11,"35,158",No,"162,722",Yes,F,High School,Clerical,23,Private,"10,920",SUV,0,0,0,7,Highly Rural/ Rural
105551103,0,22-01-58,2,15,"97,679",Yes,"273,142",No,M,Bachelors,Blue Collar,22,Commercial,"12,850",Minivan,"38,815",3,0,1,Highly Urban/ Urban
105575933,0,12-04-66,1,8,"77,719",Yes,0,No,F,High School,Blue Collar,39,Commercial,"9,250",SUV,0,0,"4,589",1,Highly Urban/ Urban
105597943,0,31-12-58,0,14,"25,645",No,"120,237",Yes,F,High School,Clerical,50,Private,"15,490",SUV,"5,375",2,0,1,Highly Urban/ Urban
105807033,0,22-08-45,0,7,"29,567",No,"195,060",Yes,M,<High School,Blue Collar,18,Commercial,"20,200",Van,"2,913",1,"7,581",1,Highly Urban/ Urban
105860495,0,05-07-53,0,13,"45,100",No,0,No,F,Bachelors,Blue Collar,18,Commercial,"10,610",SUV,"37,157",2,0,13,Highly Urban/ Urban
105863684,0,23-12-57,0,13,"87,333",No,"293,661",Yes,F,High School,Blue Collar,35,Commercial,"18,240",SUV,"6,863",1,"4,506",1,Highly Urban/ Urban
105893642,0,20-05-50,0,11,"172,230",No,"488,497",Yes,F,Bachelors,Professional,17,Private,"32,320",SUV,0,0,0,8,Highly Urban/ Urban
106246362,0,01-03-47,0,12,"143,073",No,"404,124",Yes,F,Bachelors,Professional,30,Private,"16,930",SUV,0,0,0,10,Highly Urban/ Urban
106544024,0,17-02-38,0,11,"78,143",No,0,No,M,PhD,Manager,20,Private,"21,670",Van,0,0,0,19,Highly Urban/ Urban
106755690,0,30-07-53,0,11,"57,209",No,"214,461",Yes,M,Masters,Lawyer,24,Private,"6,100",Minivan,"5,334",3,0,18,Highly Urban/ Urban
107012374,0,04-12-61,0,12,"112,814",No,"361,722",Yes,M,Masters,Manager,52,Commercial,"25,630",Panel Truck,0,0,0,17,Highly Urban/ Urban
107018182,0,26-11-45,0,11,"58,691",No,"255,524",No,F,Masters,Lawyer,5,Private,"12,670",Minivan,"1,208",1,"4,521",15,Highly Urban/ Urban
